	NH3		He		Ne		Ar
5.76E-4	0.0953194536442008	4.76E-4	0.0989583949104339	6.76E-4	0.284184874100043	8.76E-4	0.413622578793329
5.74E-4	0.0954373407074526	4.74E-4	0.105301604410267	6.74E-4	0.294097542271218	8.74E-4	0.419410570828186
5.72E-4	0.0962925494531324	4.72E-4	0.110492908046265	6.72E-4	0.301622513848619	8.72E-4	0.432091497710808
5.7E-4	0.0983256544785471	4.7E-4	0.115906333552777	6.7E-4	0.314633681663318	8.7E-4	0.437826802909801
5.68E-4	0.0995707433911591	4.68E-4	0.124677736855073	6.68E-4	0.32638196939002	8.68E-4	0.442891522404435
5.66E-4	0.0993316606681994	4.66E-4	0.132643079544939	6.66E-4	0.336504486413556	8.66E-4	0.452173347266373
5.64E-4	0.0998578789309122	4.64E-4	0.13899940829713	6.64E-4	0.34499312754578	8.64E-4	0.460148395661898
5.62E-4	0.10096235897546	4.62E-4	0.147423356257957	6.62E-4	0.356640568801812	8.62E-4	0.471168868649048
5.6E-4	0.102120610095485	4.6E-4	0.157178216864025	6.6E-4	0.372507308934046	8.6E-4	0.480355535300854
5.58E-4	0.106108162124899	4.58E-4	0.166561633744114	6.58E-4	0.390856055716073	8.58E-4	0.498481916982193
5.56E-4	0.107664534264203	4.56E-4	0.178818413161472	6.56E-4	0.400505035124423	8.56E-4	0.509592272997101
5.54E-4	0.109914419919898	4.54E-4	0.187672480954823	6.54E-4	0.414415441691686	8.54E-4	0.515631992680933
5.52E-4	0.111480964922911	4.52E-4	0.198144824004004	6.52E-4	0.421205526216797	8.52E-4	0.528291300757765
5.5E-4	0.111257870345173	4.5E-4	0.210746878745495	6.5E-4	0.433880773223644	8.5E-4	0.533217699564504
5.48E-4	0.110408412264588	4.48E-4	0.224017977574614	6.48E-4	0.448868592617772	8.48E-4	0.532315747941715
5.46E-4	0.112897027707956	4.46E-4	0.235658081117762	6.46E-4	0.461500847790483	8.46E-4	0.547398199390717
5.44E-4	0.112649107658266	4.44E-4	0.251758164177651	6.44E-4	0.473184056420048	8.44E-4	0.557042294910231
5.42E-4	0.114714957497098	4.42E-4	0.270234319097072	6.42E-4	0.481149400213501	8.42E-4	0.565730746530266
5.4E-4	0.116865539693755	4.4E-4	0.282364874190704	6.4E-4	0.498297343646139	8.4E-4	0.58067390740662
